sample_id,storm_id,t0_utc,gridsat_spatial_mean,imerg_spatial_mean,gate_median,gate_p10,gate_p90,spatial_variance
NIO_2022_NO_20220819_0300Z,NIO_2022_NO,2022-08-19T03:00:00Z,0.49713975191116333,0.5028602480888367,0.497577965259552,0.42092591524124146,0.5783961415290833,0.006664575543254614
NIO_2022_NO_20220819_0600Z,NIO_2022_NO,2022-08-19T06:00:00Z,0.49664589762687683,0.5033541023731232,0.49736207723617554,0.4238280653953552,0.5741725564002991,0.006603024434298277
NIO_2022_NO_20220819_1200Z,NIO_2022_NO,2022-08-19T12:00:00Z,0.49682384729385376,0.5031761527061462,0.49785739183425903,0.41566523909568787,0.5826144814491272,0.007347993087023497
NIO_2022_NO_20220820_0000Z,NIO_2022_NO,2022-08-20T00:00:00Z,0.4965190291404724,0.5034809708595276,0.4977468252182007,0.40194475650787354,0.5920592546463013,0.007846850901842117
NIO_2022_NO_20220820_0600Z,NIO_2022_NO,2022-08-20T06:00:00Z,0.49600258469581604,0.503997415304184,0.49728521704673767,0.4122120141983032,0.580897331237793,0.00719332555308938
NIO_2022_NO_20220820_1200Z,NIO_2022_NO,2022-08-20T12:00:00Z,0.49663394689559937,0.5033660531044006,0.4975969195365906,0.4088788628578186,0.5858679413795471,0.007044216617941856
NIO_2022_NO_20220821_0000Z,NIO_2022_NO,2022-08-21T00:00:00Z,0.4966322183609009,0.5033677816390991,0.497614324092865,0.41001248359680176,0.5863023996353149,0.00683337589725852
NIO_2022_SITRANG_20221022_0600Z,NIO_2022_SITRANG,2022-10-22T06:00:00Z,0.49642375111579895,0.503576248884201,0.49821269512176514,0.4259844124317169,0.5697107911109924,0.006633517798036337
NIO_2022_SITRANG_20221022_1200Z,NIO_2022_SITRANG,2022-10-22T12:00:00Z,0.4968646764755249,0.5031353235244751,0.4983554184436798,0.42411938309669495,0.5727822184562683,0.007139091845601797
NIO_2022_SITRANG_20221022_1800Z,NIO_2022_SITRANG,2022-10-22T18:00:00Z,0.4968757927417755,0.5031242072582245,0.49824368953704834,0.4275945723056793,0.5696887969970703,0.006168061401695013
NIO_2022_SITRANG_20221023_0000Z,NIO_2022_SITRANG,2022-10-23T00:00:00Z,0.49647992849349976,0.5035200715065002,0.4981674551963806,0.4263208508491516,0.5697890520095825,0.006245000753551722
NIO_2022_UNNAMED_01_20220320_0600Z,NIO_2022_UNNAMED_01,2022-03-20T06:00:00Z,0.4974379539489746,0.5025620460510254,0.4985787868499756,0.43932971358299255,0.5530974268913269,0.0029064000118523836
NIO_2022_UNNAMED_01_20220320_1200Z,NIO_2022_UNNAMED_01,2022-03-20T12:00:00Z,0.49806275963783264,0.5019372403621674,0.4986881613731384,0.4392593801021576,0.5564873218536377,0.0030516497790813446
NIO_2022_UNNAMED_01_20220320_1800Z,NIO_2022_UNNAMED_01,2022-03-20T18:00:00Z,0.4980970323085785,0.5019029676914215,0.498843252658844,0.4382600784301758,0.5575969219207764,0.003020923351868987
NIO_2022_UNNAMED_2_13_1_20221120_0000Z,NIO_2022_UNNAMED_2_13_1,2022-11-20T00:00:00Z,0.4970053732395172,0.5029946267604828,0.49774545431137085,0.4314842224121094,0.5645982027053833,0.004451954271644354
NIO_2022_UNNAMED_2_15_1_20221214_1200Z,NIO_2022_UNNAMED_2_15_1,2022-12-14T12:00:00Z,0.4965573251247406,0.5034426748752594,0.4979403614997864,0.43192389607429504,0.5632873177528381,0.005381681025028229
NIO_2022_UNNAMED_2_15_1_20221214_1800Z,NIO_2022_UNNAMED_2_15_1,2022-12-14T18:00:00Z,0.49682676792144775,0.5031732320785522,0.49799835681915283,0.4311993718147278,0.5638176798820496,0.004718209616839886
NIO_2022_UNNAMED_2_15_1_20221215_0000Z,NIO_2022_UNNAMED_2_15_1,2022-12-15T00:00:00Z,0.4967796802520752,0.5032203197479248,0.4977959394454956,0.4301208555698395,0.5649056434631348,0.004495356697589159
NIO_2022_UNNAMED_2_15_1_20221215_0600Z,NIO_2022_UNNAMED_2_15_1,2022-12-15T06:00:00Z,0.49661096930503845,0.5033890306949615,0.497770220041275,0.43086129426956177,0.5635020732879639,0.004280019085854292
NIO_2022_UNNAMED_2_16_1_20221222_0600Z,NIO_2022_UNNAMED_2_16_1,2022-12-22T06:00:00Z,0.4966104328632355,0.5033895671367645,0.49794670939445496,0.43522757291793823,0.558739960193634,0.004084499087184668
NIO_2022_UNNAMED_2_16_1_20221222_1200Z,NIO_2022_UNNAMED_2_16_1,2022-12-22T12:00:00Z,0.4969191551208496,0.5030808448791504,0.4980120062828064,0.4360758066177368,0.5584478378295898,0.0037889815866947174
NIO_2022_UNNAMED_2_16_1_20221222_1800Z,NIO_2022_UNNAMED_2_16_1,2022-12-22T18:00:00Z,0.49723049998283386,0.5027695000171661,0.49824053049087524,0.4371216893196106,0.5568614602088928,0.0034795242827385664
